x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
202347_s_at,'NNT',na,1344.1,1327.7,1249.7,1377.3,1311.1,1516.9
202348_s_at,'STK39',na,905.5,920.4,723.4,919.5,916.8,808.2
202349_at,'MAPKAPK3',na,888.4,944.3,830.8,1122,1014.8,856.7
202350_s_at,'MAPKAPK3',na,356.1,438.9,70.6,35.8,88.3,74.6
202351_at,'PPP6R2',na,1306.2,1118.7,995.6,1468.8,1041.2,941.9
202352_s_at,'LPCAT3',na,1803.3,2061.3,2230.2,2216.7,2186.6,2640.7
202353_s_at,'INPP1',na,1207.1,1222.8,1306.4,1591.2,1760.5,1651.8
202354_s_at,'TRIOBP',na,926.1,755.3,615.2,777.4,920.2,724.5
202355_s_at,'SACM1L',na,814.8,785.9,673.3,876.9,773.9,766.2
202356_s_at,'SEC24B',na,790.5,715.1,789.7,788.7,788.1,733.3
202358_s_at,'CLPP',na,505.9,530,433.7,305.2,279,364.5
202359_s_at,'PRKACA',na,368.5,379.9,418.3,364.1,327,396
202360_at,'DHPS',na,822.9,811.9,791.5,801.9,743,677.1
202361_at,'ITGB2',na,1100.1,1025.5,681.7,662.9,772.2,877.4
202362_at,'ABCC1',na,1225.2,1409.7,1390.4,1323.6,1155.3,1686.6
202364_at,'ABCC1',na,739,681.5,757.8,276.5,602.8,338.6
202365_at,'DBN1',na,657.2,688.4,493.2,691.5,449.5,583.7
202367_at,'WBP1L',na,496,556,479.9,294.6,447.1,348.9
202368_s_at,'INTS3',na,2128.3,1755.8,1695.1,2200.4,1811.6,2435.5
202369_s_at,'DRG1',na,2911.2,2804,3452.6,3744.6,3352.1,4166.4
202370_s_at,'STAMBP',na,2175.6,2089.2,2023.2,2075.4,2033.8,2283.1
202371_at,'GAA',na,1424.2,1376.3,2149.1,2347.6,2034.2,959.9
202372_at,'HEXIM1',na,340.8,237.4,469.2,421.5,431.4,391.9
202373_s_at,'HEXIM1',na,950.3,838.6,1114,952.2,777.7,828.7
202374_s_at,'SS18',na,547.5,475.8,275.9,444.9,377.9,373
202375_at,'SS18',na,250.6,271.5,373.2,324.7,199.2,369.7
202377_at,'TCEB3',na,2593.6,2307.5,1619.9,1749,1846.7,2551.4
202378_s_at,'AHR',na,2341.4,2011.1,1421.6,1781.8,1701.5,2100.6
202379_s_at,'LPP',na,368.6,485.1,473.7,526.5,478.8,423.4
202380_s_at,'TCEB1',na,247.4,333.3,287.8,283.7,332.1,267.8
202381_at,'TCEB1',na,1742.5,1895.5,2353.2,2477.9,2503.2,3288
202382_s_at,'SLC25A4',na,1145.3,1006.3,907.1,707.7,668.3,864.1
202383_at,'MMP14',na,429.5,435.9,394.5,437.8,459.8,356.7
202384_s_at,'MMP14',na,405.2,415.5,328.6,401.6,353.7,305.8
202386_s_at,'VAMP7',na,322.4,229.4,260.1,315.7,348.3,228.5
202387_at,'SLC37A4',na,942.5,838.8,795.9,997.3,866.2,726.1
