,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
46.7469,2.4126,4.0387,2.8555,3.8981,4.9178,1.6595,2.1813,5.9466,NaN,10.2034,13.9009,16.8542,23.8954,15.0129,22.4241,21.6893,20.4221,NaN,28.3545,29.5256,31.7117,29.6053,32.554,31.415,33.4006,39.5481,NaN,2.905,4.21,2.8918,4.6547,2.9454,5.8701,4.3243,4.6197,NaN,7.9696,7.0558,7.7389,12.6422,5.7662,6.5135,9.2918,10.0423,NaN,5.3488,5.6435,6.968,5.9902,8.1289,6.8098,5.0201,5.3404,NaN,18.5164,10.0072,12.8194,12.7165,NaN,64.6032,63.7945,57.2719,70.1345,NaN,9.9257,13.2043,14.2434,12.6932,NaN,86.1006,81.7797,81.3227,89.9178,NaN,24.6177,22.951,22.936,32.5009,NaN,20.6021,16.4394,17.1414,32.624
53.2212,2.0583,3.5544,2.789,3.6047,4.3784,1.4089,2.1713,5.6806,NaN,9.7988,12.5332,15.9318,22.1626,14.4592,21.304,18.897,19.4274,NaN,26.3991,27.2315,29.2241,27.3532,30.0588,29.3635,31.0919,35.6432,NaN,2.6286,3.7152,2.3325,3.8373,2.4551,5.5209,3.9268,5.034,NaN,8.2195,6.8381,7.3117,12.2244,5.5108,5.9304,8.7258,9.6252,NaN,5.1654,5.3232,7.0992,5.8278,8.6886,6.8296,4.7991,5.1339,NaN,18.3615,9.9467,12.9781,12.4972,NaN,62.9685,63.868,56.5351,68.9889,NaN,10.1184,13.1504,14.1964,12.6616,NaN,85.3421,81.2993,80.2537,88.735,NaN,24.8033,23.0379,23.2757,32.27,NaN,20.7971,16.7855,17.168,32.737
59.6933,2.0994,3.4026,2.8159,3.2327,3.9561,1.7108,2.2147,4.7988,NaN,10.7649,12.5787,15.8205,22.4934,14.7254,21.4702,18.6655,19.0895,NaN,26.0891,26.8787,28.7884,27.3569,29.7752,28.7441,30.9338,34.7535,NaN,2.6732,4.279,2.9205,3.9255,2.3719,5.2804,3.6118,5.0218,NaN,8.4374,7.2583,7.8665,12.5264,5.7312,6.1097,9.1347,9.7086,NaN,5.6969,5.7427,7.2902,5.5099,8.4825,6.5666,4.5612,5.7955,NaN,18.1755,9.9095,12.9611,12.7237,NaN,62.6358,63.0534,56.7939,68.4846,NaN,10.2819,13.1057,14.1955,12.7341,NaN,84.2162,80.8575,79.7682,88.2525,NaN,25.2927,23.0103,23.6127,32.3651,NaN,21.1978,16.3879,17.1472,32.4264
66.1726,1.9315,3.278,2.7843,3.1268,4.1222,1.5828,2.0042,5.7484,NaN,11.3266,12.8773,15.8083,22.6677,14.7372,21.6912,18.2861,18.9358,NaN,26.2285,27.2137,28.5899,27.977,29.6666,28.9869,30.8726,34.5687,NaN,2.9054,4.1463,3.3119,4.1222,2.7695,5.4922,4.1085,4.8627,NaN,8.4607,7.189,7.8648,12.6851,5.7768,6.5632,9.1369,9.4499,NaN,6.079,5.7037,6.7451,5.8947,8.7116,6.7492,5.1975,5.2312,NaN,17.748,9.8509,12.957,12.55,NaN,62.3044,62.9429,56.3964,67.4181,NaN,10.4768,13.209,14.2685,12.6463,NaN,83.3944,80.4276,79.3045,87.5352,NaN,25.209,22.89,23.2473,32.5193,NaN,20.865,16.1038,17.1491,31.974
,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
PER (pmol/min),,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
Time,Group Name: Glycolytic Rate Assay-parental yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-brm2 yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-lm2 yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-parental mcherry,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-brm2 mcherry,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-lm2 mcherry,,,,,,,,NaN,Group Name: no drug-parental yfp,,,,NaN,Group Name: no drug-brm2 yfp,,,,NaN,Group Name: no drug-parental mcherry,,,,NaN,Group Name: no drug-lm2 yfp,,,,NaN,Group Name: no drug-brm2 mcherry,,,,NaN,Group Name: no drug-lm2 mcherry,,,
,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
1.3062,164.9075,198.5534,204.7081,217.9291,240.0475,133.6949,152.7289,273.2122,NaN,478.7135,456.8936,559.4684,773.536,469.0281,708.9137,621.9266,636.3673,NaN,725.9139,802.9924,779.4641,793.7277,772.9319,757.3,847.633,932.5949,NaN,172.0329,183.2093,155.0013,175.2186,150.2388,236.8224,188.0834,171.915,NaN,290.8358,251.9186,271.8277,389.8065,234.6634,246.5114,287.5738,269.6814,NaN,261.8471,286.2859,272.4803,262.7284,300.6065,289.833,259.6519,220.8838,NaN,218.3798,145.614,172.5308,166.8603,NaN,648.9365,656.4056,618.3458,718.2334,NaN,153.2313,157.7626,194.4828,176.4051,NaN,833.2504,791.448,794.8999,851.3292,NaN,288.3388,277.0803,279.3315,340.7462,NaN,278.6017,245.9959,244.878,383.1068
